epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0279,2.39895,6.50231,3.68703,2.09261,0.00502,0.16471,0.02331,0.00956,0.00358,0.11765,0.00301,0.00092,2.9476,5.47605,4.02668,2.34047,4.444e-05,4.444e-05,4.444e-05
2,23.2311,2.30855,5.7134,3.66519,2.07888,0.02247,0.03529,0.02168,0.01881,0.02222,0.01176,0.02154,0.01073,3.04866,4.27441,4.10603,2.23649,9.90001e-05,9.90001e-05,9.90001e-05
3,33.0557,1.95789,3.76545,3.61727,1.75536,0.15714,0.12941,0.14249,0.09584,0.14322,0.15294,0.12333,0.06115,2.92383,5.07462,3.93764,2.20497,0.00015246,0.00015246,0.00015246
4,43.4304,1.97331,3.19668,3.56057,1.68597,0.11429,0.18824,0.17426,0.12419,0.11475,0.23529,0.17459,0.07447,2.85968,6.16386,3.87156,2.14311,0.000204821,0.000204821,0.000204821
5,50.1823,1.85101,3.05273,3.45692,1.62833,0.0542,0.22353,0.19015,0.14755,0.05529,0.32634,0.19096,0.09189,2.47497,3.82889,3.77925,1.86625,0.000256081,0.000256081,0.000256081
6,58.5343,1.84198,3.04087,3.39278,1.58945,0.05482,0.27928,0.19288,0.14754,0.05589,0.39028,0.19395,0.08246,2.33046,3.96201,3.729,1.78487,0.000306242,0.000306242,0.000306242
7,65.3805,1.74014,2.84061,3.30437,1.53714,0.04441,0.39642,0.18506,0.118,0.04176,0.39591,0.17289,0.05108,2.31835,5.84122,3.59836,1.78716,0.000355302,0.000355302,0.000355302
8,75.033,1.75862,2.79332,3.23743,1.50467,0.06149,0.46101,0.20581,0.13148,0.02437,0.36368,0.11233,0.02737,2.36812,6.80894,3.60871,1.79837,0.000403263,0.000403263,0.000403263
9,83.6487,1.75386,2.76911,3.10212,1.51793,0.02634,0.46519,0.22758,0.13229,0.01514,0.38649,0.17828,0.0524,2.19174,5.15985,3.61999,1.69781,0.000450124,0.000450124,0.000450124
10,93.0697,1.66357,2.65142,2.97122,1.47128,0.03035,0.50339,0.25501,0.12408,0.01615,0.40091,0.16711,0.05799,2.07267,5.9885,3.55629,1.73013,0.000495885,0.000495885,0.000495885
11,102.304,1.71635,2.73747,2.83286,1.46144,0.90842,0.14118,0.192,0.09182,0.88131,0.10588,0.16068,0.0547,2.22708,7.90836,3.5365,1.78458,0.000540546,0.000540546,0.000540546
12,110.976,1.62335,2.62622,2.68,1.4396,0.92653,0.10588,0.20907,0.10084,0.91247,0.09412,0.17275,0.07683,2.45087,6.25566,3.50065,1.84904,0.000584107,0.000584107,0.000584107
13,121.037,1.68994,2.67992,2.56379,1.45975,0.98881,0.11765,0.24066,0.10455,0.97265,0.10588,0.21866,0.07606,2.58343,5.91091,3.47852,1.94704,0.000626568,0.000626568,0.000626568
14,132.279,1.66607,2.69753,2.3979,1.45433,0.91705,0.11765,0.2147,0.09431,0.91903,0.11765,0.19607,0.07673,2.521,5.22529,3.41319,1.97183,0.00066793,0.00066793,0.00066793
15,141.455,1.56864,2.36629,2.23273,1.41811,0.90742,0.21204,0.29902,0.16912,0.896,0.20399,0.26831,0.11648,2.38312,5.05016,3.22747,1.83896,0.000708191,0.000708191,0.000708191
16,147.437,1.65831,2.69902,2.14652,1.43987,0.87763,0.23859,0.27477,0.14907,0.87763,0.23859,0.24068,0.1029,2.3577,4.87422,3.17717,1.84241,0.000747353,0.000747353,0.000747353
17,154.042,1.56698,2.47181,2.10118,1.43682,0.83572,0.20534,0.25246,0.11354,0.8885,0.20534,0.24063,0.0756,2.45748,3.89694,3.17586,1.87054,0.000785415,0.000785415,0.000785415
18,160.943,1.59128,2.45457,2.01816,1.45861,0.80886,0.15379,0.25225,0.11453,0.79172,0.2,0.22141,0.0866,2.43671,3.66809,3.13854,1.85794,0.000822377,0.000822377,0.000822377
