epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6728,2.2927,4.77977,3.63022,1.99898,0.03704,0.22222,0.17915,0.13607,0.03566,0.28333,0.16879,0.06585,2.45544,4.15363,3.86126,1.96915,0.00027775,0.00027775,0.00027775
2,46.0557,1.94277,3.15861,3.22362,1.64618,0.91781,0.2,0.20553,0.08736,0.0014,0.12778,0.01849,0.0082,2.58139,6.50495,3.72296,2.23669,0.000561001,0.000561001,0.000561001
3,65.3325,1.84642,2.99736,2.61753,1.59378,0.94617,0.12077,0.17291,0.07415,0.87934,0.11701,0.10625,0.03085,2.53473,7.94946,3.37301,2.08119,0.000838532,0.000838532,0.000838532
4,88.9065,1.72235,2.88518,2.22655,1.56692,0.92011,0.16667,0.15383,0.06348,0.89949,0.14301,0.12035,0.0334,2.68862,6.58834,3.0735,2.26448,0.001078,0.001078,0.001078
5,109.298,1.68003,2.90946,2.09303,1.53092,0.78326,0.24884,0.26531,0.12171,0.66631,0.17998,0.17413,0.06412,2.45854,5.30483,2.74552,2.0273,0.001067,0.001067,0.001067
6,133.448,1.61474,2.69863,1.99228,1.48646,0.58809,0.28461,0.26904,0.15197,0.37635,0.27907,0.2688,0.11808,1.97653,3.40556,2.95702,1.74176,0.00105601,0.00105601,0.00105601
7,155.332,1.63264,2.73148,1.96636,1.47908,0.47147,0.30253,0.29617,0.13452,0.47444,0.2906,0.25351,0.10425,2.05867,3.30207,2.58748,1.72124,0.00104501,0.00104501,0.00104501
8,170.585,1.56814,2.79944,1.85778,1.45386,0.53804,0.36246,0.36238,0.1972,0.46917,0.28217,0.2863,0.108,2.04942,4.80913,2.55025,1.62338,0.00103401,0.00103401,0.00103401
9,185.244,1.48795,2.60085,1.81752,1.4162,0.56532,0.36311,0.37983,0.21471,0.87376,0.28889,0.36656,0.15686,2.17628,3.19634,2.21006,1.63263,0.00102301,0.00102301,0.00102301
10,202.435,1.52289,2.58921,1.77393,1.40475,0.69389,0.40257,0.44229,0.24097,0.68075,0.39023,0.42043,0.1813,1.90787,2.99104,1.95871,1.58843,0.00101201,0.00101201,0.00101201
11,221.391,1.50685,2.5722,1.7565,1.38898,0.40664,0.52911,0.4318,0.26585,0.4117,0.48529,0.43272,0.19012,2.01252,3.09406,2.07608,1.53469,0.00100101,0.00100101,0.00100101
12,240.739,1.45642,2.52416,1.69482,1.36164,0.49902,0.37891,0.44472,0.2377,0.5097,0.33252,0.37245,0.15205,2.01964,4.22117,2.24191,1.50357,0.000990012,0.000990012,0.000990012
13,262.741,1.46193,2.50773,1.66178,1.35436,0.34017,0.42733,0.36323,0.22835,0.32891,0.38144,0.36893,0.1753,1.89804,2.91311,1.95256,1.57367,0.000979013,0.000979013,0.000979013
14,288.741,1.44176,2.46225,1.64893,1.34034,0.42789,0.48385,0.45585,0.25844,0.4549,0.50064,0.46038,0.21667,1.84162,2.80385,1.9214,1.44639,0.000968014,0.000968014,0.000968014
15,311.129,1.43162,2.45266,1.62646,1.34587,0.48051,0.58025,0.49226,0.28899,0.47216,0.56209,0.49939,0.22182,1.80607,3.03706,1.84675,1.50475,0.000957015,0.000957015,0.000957015
16,327.866,1.39771,2.42318,1.59101,1.32353,0.32562,0.47852,0.40092,0.19753,0.35765,0.50919,0.40327,0.14491,1.88795,2.89146,1.98529,1.46011,0.000946016,0.000946016,0.000946016
17,345.342,1.38309,2.41304,1.57117,1.31124,0.44995,0.53237,0.4882,0.27438,0.46582,0.52915,0.49527,0.20478,1.75015,3.1081,1.84921,1.38865,0.000935018,0.000935018,0.000935018
18,369.031,1.38724,2.38695,1.55258,1.30472,0.38797,0.43077,0.43134,0.26199,0.42208,0.4409,0.42999,0.21044,1.97447,3.41102,2.03462,1.47202,0.000924019,0.000924019,0.000924019
19,390.477,1.34223,2.34091,1.52266,1.30401,0.46904,0.55488,0.49744,0.28734,0.45732,0.54609,0.48763,0.23972,1.75282,2.81998,1.81894,1.34257,0.00091302,0.00091302,0.00091302
20,418.279,1.34614,2.31038,1.52571,1.27732,0.40651,0.5054,0.49707,0.19659,0.35009,0.49852,0.43631,0.16344,1.96815,2.80424,1.88489,1.42683,0.000902021,0.000902021,0.000902021
21,441.83,1.31595,2.30968,1.47574,1.26936,0.48056,0.49591,0.51102,0.28673,0.49834,0.49707,0.51399,0.23804,1.83796,2.80343,1.87483,1.45424,0.000891022,0.000891022,0.000891022
22,465.33,1.3159,2.29172,1.48306,1.27224,0.49287,0.49457,0.50519,0.30539,0.54565,0.49741,0.51842,0.26934,1.72048,2.77222,1.76943,1.33274,0.000880023,0.000880023,0.000880023
23,482.335,1.30681,2.30701,1.4409,1.25881,0.52295,0.53067,0.49584,0.28436,0.60483,0.51516,0.52393,0.2348,1.80307,2.75416,1.74171,1.3648,0.000869024,0.000869024,0.000869024
24,499.178,1.32911,2.28174,1.44504,1.25868,0.47022,0.536,0.51779,0.30595,0.48981,0.55541,0.54228,0.26375,1.75002,2.65056,1.71372,1.34869,0.000858025,0.000858025,0.000858025
25,514.91,1.28122,2.22245,1.38177,1.2366,0.45214,0.58401,0.53612,0.31314,0.45938,0.59742,0.53411,0.26428,1.69061,2.57548,1.66329,1.29194,0.000847026,0.000847026,0.000847026
26,535.08,1.28517,2.24655,1.41283,1.23996,0.44886,0.57805,0.47715,0.28029,0.47613,0.59356,0.52152,0.24525,1.74788,2.93638,1.84351,1.32958,0.000836027,0.000836027,0.000836027
27,558.172,1.28673,2.25121,1.39237,1.24393,0.50251,0.53049,0.51632,0.29527,0.50426,0.52617,0.53785,0.26743,1.76541,2.78203,1.71312,1.36398,0.000825029,0.000825029,0.000825029
28,580.135,1.2847,2.2665,1.3732,1.23684,0.55822,0.51337,0.53077,0.3215,0.57319,0.5018,0.54733,0.27591,1.64735,2.48827,1.73827,1.34111,0.00081403,0.00081403,0.00081403
29,602.463,1.26824,2.22608,1.35719,1.22247,0.57808,0.52547,0.55563,0.31718,0.56804,0.5068,0.54068,0.27238,1.65991,2.7637,1.73208,1.33406,0.000803031,0.000803031,0.000803031
30,618.976,1.28013,2.15888,1.35314,1.22625,0.49355,0.56501,0.58056,0.33206,0.46828,0.58004,0.56366,0.2926,1.69901,2.61216,1.69181,1.30493,0.000792032,0.000792032,0.000792032
31,637.652,1.24098,2.14491,1.30483,1.20599,0.55153,0.5631,0.54354,0.32234,0.54385,0.54527,0.53411,0.27578,1.80678,2.53415,1.68692,1.31355,0.000781033,0.000781033,0.000781033
32,659.055,1.20842,2.09781,1.30551,1.19736,0.45846,0.58248,0.49642,0.30001,0.49156,0.61187,0.53026,0.26282,1.64776,2.53795,1.77799,1.32507,0.000770034,0.000770034,0.000770034
33,680.028,1.2111,2.10983,1.27401,1.18912,0.52225,0.56951,0.55018,0.31606,0.52452,0.55568,0.55294,0.27057,1.65063,2.38925,1.73734,1.3732,0.000759035,0.000759035,0.000759035
34,699.828,1.22622,2.05616,1.30475,1.19723,0.54187,0.59604,0.60955,0.34702,0.60433,0.56154,0.60105,0.28936,1.58759,2.44937,1.61102,1.2935,0.000748036,0.000748036,0.000748036
35,722.087,1.20753,2.07915,1.25327,1.18959,0.56371,0.55118,0.58696,0.34342,0.6067,0.54552,0.58578,0.28383,1.57254,2.34946,1.64105,1.31895,0.000737037,0.000737037,0.000737037
36,745.249,1.22602,2.11006,1.28632,1.19192,0.47434,0.62378,0.56846,0.34179,0.45974,0.59765,0.55404,0.27556,1.63257,2.50185,1.61564,1.23639,0.000726038,0.000726038,0.000726038
37,759.945,1.2084,2.02947,1.27083,1.18764,0.50927,0.56996,0.57514,0.33534,0.49836,0.57919,0.57776,0.29759,1.57916,2.47052,1.67837,1.24432,0.00071504,0.00071504,0.00071504
38,780.737,1.18956,2.09703,1.23677,1.18031,0.48824,0.5274,0.54443,0.30613,0.51064,0.49188,0.54055,0.26999,1.68676,2.51766,1.74289,1.26854,0.000704041,0.000704041,0.000704041
39,798.083,1.18629,2.01936,1.22814,1.17365,0.61388,0.60441,0.64095,0.39427,0.61277,0.56862,0.60408,0.31323,1.53177,2.36441,1.5656,1.24077,0.000693042,0.000693042,0.000693042
40,818.23,1.1948,2.04434,1.22255,1.17819,0.56546,0.61126,0.60135,0.37416,0.56073,0.61856,0.61068,0.31921,1.53117,2.60686,1.49225,1.25878,0.000682043,0.000682043,0.000682043
41,837.869,1.18218,2.02417,1.219,1.17174,0.4397,0.6736,0.55205,0.36347,0.43542,0.65516,0.56228,0.29622,1.55713,2.63003,1.6231,1.24342,0.000671044,0.000671044,0.000671044
42,860.888,1.18025,1.98873,1.19242,1.16753,0.53209,0.59878,0.60317,0.35495,0.58228,0.57705,0.60464,0.32137,1.61704,2.43617,1.53381,1.22519,0.000660045,0.000660045,0.000660045
43,888.615,1.16971,2.03036,1.19021,1.17449,0.60818,0.62953,0.61562,0.35384,0.6117,0.62194,0.60961,0.30327,1.56283,2.42278,1.60996,1.22446,0.000649046,0.000649046,0.000649046
44,903.973,1.17193,2.04114,1.18509,1.16199,0.46533,0.54314,0.4858,0.31472,0.47389,0.54656,0.49274,0.28134,1.79095,2.56349,1.84865,1.33341,0.000638047,0.000638047,0.000638047
45,924.377,1.15908,1.982,1.18878,1.16005,0.56487,0.55606,0.59806,0.37276,0.54557,0.5986,0.60622,0.30768,1.53486,2.64464,1.58954,1.23798,0.000627048,0.000627048,0.000627048
46,942.707,1.14936,2.01262,1.17083,1.15133,0.49117,0.65409,0.61979,0.3765,0.51696,0.63303,0.61531,0.31527,1.53117,2.52829,1.48909,1.25015,0.000616049,0.000616049,0.000616049
47,967.697,1.14148,1.96689,1.15472,1.14558,0.52772,0.62519,0.63202,0.41155,0.50327,0.60925,0.61556,0.33293,1.48547,2.28951,1.48642,1.20792,0.000605051,0.000605051,0.000605051
48,993.461,1.14729,1.95887,1.1497,1.14976,0.63021,0.61497,0.62446,0.37932,0.6254,0.57921,0.60869,0.31557,1.53768,2.37875,1.44705,1.23812,0.000594052,0.000594052,0.000594052
49,1015.72,1.16028,1.94159,1.15626,1.14541,0.61599,0.56059,0.61877,0.3893,0.65041,0.55201,0.63289,0.34787,1.5026,2.28997,1.47695,1.18611,0.000583053,0.000583053,0.000583053
50,1038.56,1.11922,1.93696,1.11851,1.13662,0.71651,0.50943,0.61925,0.38496,0.72966,0.51615,0.63263,0.33453,1.60538,2.39487,1.52176,1.21423,0.000572054,0.000572054,0.000572054
51,1053.95,1.15649,1.96652,1.12974,1.14261,0.59881,0.62204,0.62713,0.37054,0.60081,0.63315,0.64379,0.31285,1.55581,2.38476,1.45807,1.22611,0.000561055,0.000561055,0.000561055
52,1071.08,1.1161,1.90402,1.11976,1.12542,0.55812,0.68419,0.61539,0.38478,0.54769,0.70928,0.62373,0.33772,1.49947,2.38596,1.4746,1.21678,0.000550056,0.000550056,0.000550056
53,1094.51,1.1302,1.91637,1.0997,1.13335,0.62107,0.68626,0.64388,0.40427,0.62262,0.68462,0.64578,0.33122,1.54458,2.58293,1.51764,1.21154,0.000539057,0.000539057,0.000539057
54,1119.11,1.10395,1.87659,1.09188,1.12086,0.6195,0.66254,0.68121,0.42664,0.60934,0.66452,0.67755,0.38808,1.56063,2.34891,1.40344,1.22556,0.000528058,0.000528058,0.000528058
55,1143.25,1.09926,1.88387,1.09405,1.12696,0.58058,0.67556,0.646,0.40807,0.56734,0.67811,0.63834,0.36129,1.48526,2.23402,1.47046,1.1912,0.000517059,0.000517059,0.000517059
56,1168.72,1.09875,1.88218,1.08512,1.12148,0.62094,0.6325,0.62659,0.4077,0.61726,0.5996,0.60153,0.33187,1.51759,2.38996,1.43738,1.19456,0.00050606,0.00050606,0.00050606
