epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,572.552,1.2892,2.17955,1.36702,1.21966,0.52264,0.58846,0.58701,0.32936,0.54389,0.55163,0.5529,0.28513,1.7664,2.54241,1.65658,1.30149,0.000792032,0.000792032,0.000792032
31,591.935,1.25362,2.13996,1.32084,1.20015,0.53635,0.59092,0.55704,0.32362,0.52719,0.58438,0.55318,0.28996,1.73449,2.45759,1.66794,1.31462,0.000781033,0.000781033,0.000781033
32,606.337,1.21573,2.1059,1.31448,1.19606,0.46861,0.59136,0.53466,0.31407,0.50655,0.58596,0.54422,0.27044,1.62638,2.60458,1.63693,1.27001,0.000770034,0.000770034,0.000770034
33,623.541,1.22663,2.12804,1.28801,1.19254,0.51464,0.48803,0.4836,0.3086,0.51335,0.50939,0.49413,0.25403,1.66776,2.51962,1.68472,1.29796,0.000759035,0.000759035,0.000759035
34,638.342,1.2219,2.08255,1.30911,1.19464,0.4278,0.68818,0.55393,0.32777,0.52042,0.57947,0.58187,0.27861,1.59202,2.48025,1.64559,1.28721,0.000748036,0.000748036,0.000748036
35,661.601,1.20889,2.09463,1.26937,1.19236,0.49922,0.57947,0.57861,0.35495,0.51352,0.57771,0.57945,0.30726,1.55579,2.42071,1.55933,1.3322,0.000737037,0.000737037,0.000737037
36,684.63,1.23646,2.11058,1.28958,1.18616,0.55542,0.60553,0.59726,0.33576,0.55675,0.58754,0.58013,0.29096,1.65704,2.54142,1.64697,1.27901,0.000726038,0.000726038,0.000726038
37,707.436,1.21769,2.04476,1.27779,1.18683,0.53818,0.61522,0.60638,0.35669,0.57893,0.65291,0.62823,0.33109,1.56772,2.36614,1.6061,1.22993,0.00071504,0.00071504,0.00071504
38,736.611,1.20217,2.10205,1.24926,1.17477,0.54885,0.54867,0.56774,0.34067,0.54033,0.53878,0.57045,0.29212,1.53224,2.46173,1.69002,1.22559,0.000704041,0.000704041,0.000704041
39,751.208,1.1897,2.01426,1.22252,1.17445,0.57652,0.57369,0.60108,0.3691,0.56576,0.58009,0.60009,0.3018,1.58692,2.40642,1.57504,1.26188,0.000693042,0.000693042,0.000693042
40,773.916,1.21572,2.0497,1.23721,1.18105,0.57629,0.62928,0.58856,0.36977,0.58466,0.66113,0.62177,0.32671,1.61941,2.45281,1.55053,1.27436,0.000682043,0.000682043,0.000682043
41,798.245,1.1819,2.05347,1.22762,1.16684,0.53822,0.64542,0.60016,0.36655,0.53239,0.63825,0.58614,0.31016,1.60587,2.47394,1.50831,1.24694,0.000671044,0.000671044,0.000671044
42,818.099,1.18249,1.99656,1.19971,1.16507,0.50883,0.6895,0.5754,0.34663,0.51099,0.68016,0.59208,0.29652,1.67712,2.55446,1.57044,1.23333,0.000660045,0.000660045,0.000660045
43,839.848,1.16737,2.03432,1.19538,1.16964,0.57267,0.62983,0.63195,0.37686,0.60874,0.5896,0.63486,0.32325,1.61302,2.47038,1.56641,1.23962,0.000649046,0.000649046,0.000649046
44,862.37,1.17179,2.05835,1.20435,1.15887,0.49556,0.51497,0.492,0.30984,0.52352,0.53791,0.50614,0.26616,1.79334,2.5722,1.71264,1.30484,0.000638047,0.000638047,0.000638047
45,886.473,1.18255,1.9945,1.20198,1.1663,0.60911,0.52377,0.60157,0.37951,0.609,0.52783,0.61099,0.31165,1.53993,2.35294,1.46617,1.2098,0.000627048,0.000627048,0.000627048
46,901.959,1.15671,2.02261,1.18423,1.15335,0.45545,0.55437,0.52916,0.34024,0.45129,0.48779,0.51542,0.2656,1.61219,2.63068,1.7205,1.27648,0.000616049,0.000616049,0.000616049
