epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1097,1.95111,4.23034,3.40464,1.77735,0.02395,0.30222,0.18599,0.12652,0.01253,0.32556,0.15296,0.06065,2.29076,4.07335,3.584,1.83926,0.000363836,0.000363836,0.000363836
2,96.9651,1.68937,3.37902,2.47276,1.53478,0.95179,0.15,0.22767,0.10331,0.49338,0.21278,0.14604,0.04834,2.59053,4.07707,2.94005,2.11524,0.000726901,0.000726901,0.000726901
3,149.294,1.58827,3.25301,2.02207,1.51331,0.15077,0.35207,0.17823,0.08781,0.3412,0.33222,0.16084,0.06483,2.32458,2.94761,2.96312,1.98182,0.00108263,0.00108263,0.00108263
4,202.044,1.51477,3.106,1.88206,1.47697,0.23256,0.37889,0.29008,0.12988,0.25652,0.36471,0.27026,0.08703,2.22481,3.69598,2.63171,1.72407,0.001078,0.001078,0.001078
5,247.162,1.46138,3.03971,1.81603,1.45319,0.82341,0.26888,0.33512,0.16437,0.31734,0.46477,0.33238,0.13602,2.10664,2.86079,2.73538,1.60286,0.001067,0.001067,0.001067
6,322.215,1.43277,3.01461,1.74088,1.42558,0.48773,0.45409,0.44211,0.2395,0.47168,0.45667,0.43215,0.20123,1.95231,2.70141,2.00173,1.52341,0.00105601,0.00105601,0.00105601
7,446.125,1.39739,2.93125,1.70009,1.40778,0.38451,0.4003,0.40282,0.21193,0.40901,0.36031,0.3794,0.14734,2.00212,2.47088,2.31242,1.64003,0.00104501,0.00104501,0.00104501
8,549.705,1.3876,2.8957,1.66152,1.39614,0.43152,0.48579,0.43302,0.22693,0.48363,0.525,0.4668,0.17099,1.8247,2.53331,2.62178,1.47711,0.00103401,0.00103401,0.00103401
9,622.173,1.3567,2.81167,1.59353,1.37083,0.47223,0.47756,0.43993,0.25683,0.47704,0.47922,0.44369,0.22386,1.88282,2.51628,1.99893,1.42173,0.00102301,0.00102301,0.00102301
10,696.288,1.31769,2.76508,1.5705,1.3628,0.45295,0.47989,0.48105,0.26744,0.55615,0.44722,0.47501,0.22548,1.75467,2.33577,1.93873,1.46857,0.00101201,0.00101201,0.00101201
11,740.531,1.30834,2.73135,1.53038,1.34504,0.54032,0.47814,0.50925,0.30661,0.61007,0.49389,0.56072,0.279,1.61881,2.15338,1.90068,1.30849,0.00100101,0.00100101,0.00100101
12,812.947,1.26518,2.69726,1.48906,1.31917,0.49274,0.51284,0.53274,0.30559,0.57151,0.43856,0.51854,0.2591,1.81492,2.26007,1.73868,1.434,0.000990012,0.000990012,0.000990012
13,885.935,1.25553,2.65692,1.46131,1.31444,0.53795,0.55887,0.49147,0.26088,0.51386,0.5883,0.49746,0.23169,1.7029,2.16326,1.87807,1.40458,0.000979013,0.000979013,0.000979013
14,923.636,1.2551,2.63869,1.42249,1.30968,0.6161,0.46433,0.54244,0.29628,0.59949,0.44375,0.51789,0.26707,1.72924,2.2324,1.83797,1.39051,0.000968014,0.000968014,0.000968014
15,985.52,1.23295,2.62221,1.4032,1.30137,0.37671,0.51589,0.44664,0.26329,0.37576,0.5142,0.45148,0.23137,1.65563,2.14662,1.95691,1.37706,0.000957015,0.000957015,0.000957015
16,1053.55,1.22223,2.60821,1.39163,1.28669,0.4544,0.51261,0.46702,0.26785,0.45983,0.5086,0.46728,0.20035,1.69675,2.21624,2.20817,1.40123,0.000946016,0.000946016,0.000946016
17,1104.78,1.21995,2.55065,1.38122,1.2884,0.50944,0.57056,0.53785,0.29354,0.5123,0.57778,0.53826,0.26351,1.71504,2.19908,1.7774,1.31204,0.000935018,0.000935018,0.000935018
18,1158.81,1.19141,2.48013,1.34335,1.28036,0.53435,0.56804,0.55364,0.32739,0.54579,0.5791,0.55386,0.30903,1.67915,2.1981,1.69699,1.32012,0.000924019,0.000924019,0.000924019
19,1234.49,1.20134,2.50491,1.34232,1.27289,0.59033,0.6087,0.59565,0.3444,0.58665,0.60466,0.58253,0.31378,1.50102,2.00998,1.65137,1.27772,0.00091302,0.00091302,0.00091302
20,1279.69,1.18668,2.47787,1.32043,1.26565,0.54705,0.54253,0.55706,0.35263,0.5631,0.56193,0.57529,0.29774,1.53033,2.06366,1.62036,1.23484,0.000902021,0.000902021,0.000902021
21,1333.38,1.17973,2.47447,1.31275,1.25802,0.61561,0.5513,0.55642,0.34536,0.61561,0.57635,0.55743,0.30734,1.54569,2.03979,1.67989,1.23448,0.000891022,0.000891022,0.000891022
22,1395.7,1.18099,2.45143,1.29469,1.25732,0.60543,0.59146,0.60151,0.35415,0.61697,0.62578,0.59619,0.32023,1.59505,1.96582,1.62092,1.29463,0.000880023,0.000880023,0.000880023
23,1450.87,1.15464,2.41647,1.24994,1.24116,0.63582,0.62519,0.61368,0.37268,0.65511,0.64149,0.6412,0.3335,1.49446,2.03274,1.60771,1.22215,0.000869024,0.000869024,0.000869024
24,1505.54,1.15221,2.38912,1.25551,1.23942,0.58016,0.60889,0.63112,0.39257,0.5872,0.60582,0.62289,0.3444,1.53863,2.19825,1.55121,1.2454,0.000858025,0.000858025,0.000858025
25,1564.31,1.15063,2.39347,1.23297,1.23265,0.6837,0.54208,0.64618,0.37508,0.69143,0.56681,0.6667,0.35825,1.51118,1.97358,1.59782,1.20983,0.000847026,0.000847026,0.000847026
26,1629.85,1.14072,2.39264,1.23711,1.22858,0.64507,0.58578,0.64063,0.37285,0.61908,0.58455,0.65286,0.33792,1.5454,1.94545,1.58851,1.23438,0.000836027,0.000836027,0.000836027
27,1666.9,1.14349,2.3753,1.22506,1.23222,0.60943,0.57817,0.63631,0.37224,0.64503,0.56855,0.64729,0.36607,1.53328,1.95842,1.57764,1.23719,0.000825029,0.000825029,0.000825029
28,1725.08,1.12708,2.3619,1.21539,1.22225,0.55205,0.67,0.64206,0.36789,0.53034,0.66082,0.60985,0.33626,1.48496,2.03577,1.59129,1.22732,0.00081403,0.00081403,0.00081403
29,1789.21,1.12044,2.29737,1.17813,1.2162,0.66559,0.58558,0.64374,0.38759,0.60113,0.62698,0.64358,0.36049,1.61217,1.82322,1.47297,1.2387,0.000803031,0.000803031,0.000803031
30,1833.21,1.10759,2.30985,1.18386,1.21764,0.53396,0.62347,0.59931,0.37471,0.49795,0.64581,0.598,0.33168,1.5338,1.88818,1.51217,1.20649,0.000792032,0.000792032,0.000792032
